DATE,DGS1
1992-06-01,4.1659090909090909
1992-07-01,3.5959090909090909
1992-08-01,3.4719047619047619
1992-09-01,3.1842857142857143
1992-10-01,3.3023809523809524
1992-11-01,3.6821052631578947
1992-12-01,3.7113636363636364
1993-01-01,3.4963157894736842
1993-02-01,3.3857894736842105
1993-03-01,3.3330434782608696
1993-04-01,3.2442857142857143
1993-05-01,3.3635000000000000
1993-06-01,3.5363636363636364
1993-07-01,3.4747619047619048
1993-08-01,3.4436363636363636
1993-09-01,3.3561904761904762
1993-10-01,3.3920000000000000
1993-11-01,3.5790000000000000
1993-12-01,3.6072727272727273
1994-01-01,3.5425000000000000
1994-02-01,3.8657894736842105
1994-03-01,4.3191304347826087
1994-04-01,4.8157894736842105
1994-05-01,5.3142857142857143
1994-06-01,5.2672727272727273
1994-07-01,5.4765000000000000
1994-08-01,5.5621739130434783
1994-09-01,5.7628571428571429
1994-10-01,6.1145000000000000
1994-11-01,6.5400000000000000
1994-12-01,7.1361904761904762
1995-01-01,7.0505000000000000
1995-02-01,6.6968421052631579
1995-03-01,6.4317391304347826
1995-04-01,6.2657894736842105
1995-05-01,5.9977272727272727
1995-06-01,5.6422727272727273
1995-07-01,5.5940000000000000
1995-08-01,5.7526086956521739
1995-09-01,5.6200000000000000
1995-10-01,5.5904761904761905
1995-11-01,5.4328571428571429
1995-12-01,5.3070000000000000
1996-01-01,5.0876190476190476
1996-02-01,4.9420000000000000
1996-03-01,5.3423809523809524
1996-04-01,5.5377272727272727
1996-05-01,5.6368181818181818
1996-06-01,5.8100000000000000
1996-07-01,5.8509090909090909
1996-08-01,5.6668181818181818
1996-09-01,5.8330000000000000
1996-10-01,5.5500000000000000
1996-11-01,5.4231578947368421
1996-12-01,5.4719047619047619
1997-01-01,5.6123809523809524
1997-02-01,5.5252631578947368
1997-03-01,5.7955000000000000
1997-04-01,5.9881818181818182
1997-05-01,5.8695238095238095
1997-06-01,5.6919047619047619
1997-07-01,5.5418181818181818
1997-08-01,5.5647619047619048
1997-09-01,5.5238095238095238
1997-10-01,5.4563636363636364
1997-11-01,5.4572222222222222
1997-12-01,5.5250000000000000
1998-01-01,5.2445000000000000
1998-02-01,5.3084210526315789
1998-03-01,5.3895454545454545
1998-04-01,5.3790476190476190
1998-05-01,5.4400000000000000
1998-06-01,5.4086363636363636
1998-07-01,5.3581818181818182
1998-08-01,5.2052380952380952
1998-09-01,4.7109523809523810
1998-10-01,4.1214285714285714
1998-11-01,4.5252631578947368
1998-12-01,4.5186363636363636
1999-01-01,4.5142105263157895
1999-02-01,4.7026315789473684
1999-03-01,4.7813043478260870
1999-04-01,4.6900000000000000
1999-05-01,4.8490000000000000
1999-06-01,5.0968181818181818
1999-07-01,5.0319047619047619
1999-08-01,5.1977272727272727
1999-09-01,5.2514285714285714
1999-10-01,5.4290000000000000
1999-11-01,5.5535000000000000
1999-12-01,5.8422727272727273
2000-01-01,6.1215000000000000
2000-02-01,6.2180000000000000
2000-03-01,6.2221739130434783
2000-04-01,6.1505263157894737
2000-05-01,6.3263636363636364
2000-06-01,6.1727272727272727
2000-07-01,6.0825000000000000
2000-08-01,6.1830434782608696
2000-09-01,6.1255000000000000
2000-10-01,6.0123809523809524
2000-11-01,6.0919047619047619
2000-12-01,5.6025000000000000
2001-01-01,4.8147619047619048
2001-02-01,4.6842105263157895
2001-03-01,4.2986363636363636
2001-04-01,3.9765000000000000
2001-05-01,3.7813636363636364
2001-06-01,3.5761904761904762
2001-07-01,3.6171428571428571
2001-08-01,3.4704347826086957
2001-09-01,2.8247058823529412
2001-10-01,2.3304545454545455
2001-11-01,2.1820000000000000
2001-12-01,2.2155000000000000
2002-01-01,2.1585714285714286
2002-02-01,2.2326315789473684
2002-03-01,2.5670000000000000
2002-04-01,2.4759090909090909
2002-05-01,2.3540909090909091
2002-06-01,2.1965000000000000
2002-07-01,1.9609090909090909
2002-08-01,1.7572727272727273
2002-09-01,1.7150000000000000
2002-10-01,1.6500000000000000
2002-11-01,1.4915789473684211
2002-12-01,1.4500000000000000
2003-01-01,1.3642857142857143
2003-02-01,1.2963157894736842
2003-03-01,1.2400000000000000
2003-04-01,1.2671428571428571
2003-05-01,1.1814285714285714
2003-06-01,1.00952380952380952381
2003-07-01,1.1163636363636364
2003-08-01,1.3085714285714286
2003-09-01,1.2376190476190476
2003-10-01,1.2540909090909091
2003-11-01,1.3366666666666667
2003-12-01,1.3059090909090909
2004-01-01,1.2395000000000000
2004-02-01,1.2436842105263158
2004-03-01,1.1873913043478261
2004-04-01,1.4338095238095238
2004-05-01,1.7775000000000000
2004-06-01,2.1152380952380952
2004-07-01,2.0952380952380952
2004-08-01,2.0159090909090909
2004-09-01,2.1166666666666667
2004-10-01,2.2280000000000000
2004-11-01,2.5000000000000000
2004-12-01,2.6704545454545455
2005-01-01,2.8605000000000000
2005-02-01,3.0294736842105263
2005-03-01,3.3022727272727273
2005-04-01,3.3166666666666667
2005-05-01,3.3309523809523810
2005-06-01,3.3631818181818182
2005-07-01,3.6410000000000000
2005-08-01,3.8721739130434783
2005-09-01,3.8452380952380952
2005-10-01,4.1755000000000000
2005-11-01,4.3340000000000000
2005-12-01,4.3528571428571429
2006-01-01,4.4450000000000000
2006-02-01,4.6847368421052632
2006-03-01,4.7734782608695652
2006-04-01,4.8973684210526316
2006-05-01,4.9950000000000000
2006-06-01,5.1550000000000000
2006-07-01,5.2175000000000000
2006-08-01,5.0826086956521739
2006-09-01,4.9745000000000000
2006-10-01,5.0100000000000000
2006-11-01,5.0109523809523810
2006-12-01,4.9415000000000000
2007-01-01,5.0571428571428571
2007-02-01,5.0536842105263158
2007-03-01,4.9204545454545455
2007-04-01,4.9323809523809524
2007-05-01,4.9090909090909091
2007-06-01,4.9623809523809524
2007-07-01,4.9642857142857143
2007-08-01,4.4721739130434783
2007-09-01,4.1368421052631579
2007-10-01,4.0968181818181818
2007-11-01,3.4990000000000000
2007-12-01,3.2630000000000000
2008-01-01,2.7114285714285714
2008-02-01,2.0535000000000000
2008-03-01,1.5440000000000000
2008-04-01,1.7381818181818182
2008-05-01,2.0557142857142857
2008-06-01,2.4195238095238095
2008-07-01,2.2818181818181818
2008-08-01,2.1771428571428571
2008-09-01,1.9128571428571429
2008-10-01,1.4204545454545455
2008-11-01,1.0666666666666667
2008-12-01,0.49454545454545454545
2009-01-01,0.44450000000000000000
2009-02-01,0.62263157894736842105
2009-03-01,0.64409090909090909091
2009-04-01,0.54761904761904761905
2009-05-01,0.50150000000000000000
2009-06-01,0.51363636363636363636
2009-07-01,0.47863636363636363636
2009-08-01,0.45904761904761904762
2009-09-01,0.40476190476190476190
2009-10-01,0.37476190476190476190
2009-11-01,0.31315789473684210526
2009-12-01,0.37136363636363636364
2010-01-01,0.34578947368421052632
2010-02-01,0.34578947368421052632
2010-03-01,0.39565217391304347826
2010-04-01,0.44500000000000000000
2010-05-01,0.37100000000000000000
2010-06-01,0.31818181818181818182
2010-07-01,0.29142857142857142857
2010-08-01,0.25909090909090909091
